sim,mes,estado,ticket,vendas,faturamento
17,6,baixo,7951.14640792836,1.8998009259865578,15105.59530843699
17,7,medio,14730.723369704465,4.328569444582591,63762.95907470145
17,8,alto,23358.432531495877,2.260134259331391,52793.1936087147
17,9,baixo,4637.803578559797,3.8471458334561146,17842.30671364418
17,10,medio,9348.505807403764,2.260134259331391,21128.87824887171
17,11,baixo,5002.380013167736,2.572923611193225,12870.741648040346
17,12,baixo,4616.099902699224,0.0,0.0
18,1,medio,18944.648868498756,0.817277777803861,15483.040528521093
18,2,medio,24244.638884618773,2.30767824081439,55948.825610437205
18,3,alto,17056.330357667783,2.260134259331391,38549.59657983899
18,4,baixo,3840.2286730640258,2.4518333334115834,9415.600668541312
18,5,medio,14839.310937628243,2.019368055620004,29966.030474859006
18,6,medio,20966.580122767842,1.8998009259865578,39832.3283320057
18,7,baixo,4466.940475502899,4.328569444582591,19335.46205303108
18,8,baixo,10242.621723879143,2.260134259331391,23149.7002635112
18,9,medio,14291.15907259739,3.8471458334561146,54980.1730814016
18,10,alto,25085.870703390297,2.260134259331391,56697.43580189007
18,11,baixo,8776.69477696084,2.572923611193225,22581.765219878802
18,12,alto,40655.24367590259,0.0,0.0
19,1,medio,16537.877341504507,0.817277777803861,13516.039643257629
19,2,alto,23543.959684981186,2.30767824081439,54331.8834676423
19,3,alto,35538.70463907433,2.260134259331391,80322.24388703132
19,4,baixo,5272.751160078675,2.4518333334115834,12927.90705306549
19,5,baixo,7512.9167505624355,2.019368055620004,15171.344090618226
19,6,baixo,5234.803495989643,1.8998009259865578,9945.084529038793
19,7,baixo,5018.7060741576315,4.328569444582591,21723.817763939776
19,8,medio,13803.07276169172,2.260134259331391,31196.79763274341
19,9,medio,22928.404090641256,3.8471458334561146,88208.91426510864
19,10,medio,17826.277308978177,2.260134259331391,40289.780062363374
19,11,baixo,10162.488328408504,2.572923611193225,26147.306168637813
19,12,alto,26431.802967997457,0.0,0.0
20,1,medio,17942.745384263868,0.817277777803861,14664.207075351658
20,2,baixo,8834.725500530214,2.30767824081439,20387.703801141593
20,3,medio,21223.986040436368,2.260134259331391,47969.05796956143
20,4,alto,38862.26320510701,2.4518333334115834,95283.79233809585
20,5,medio,22766.305200210933,2.019368055620004,45973.549465801545
20,6,baixo,8694.30454599339,1.8998009259865578,16517.44782728738
20,7,baixo,5565.598987954739,4.328569444582591,24091.081720060676
20,8,medio,16862.40872453504,2.260134259331391,38111.30765317018
20,9,baixo,6122.200762984528,3.8471458334561146,23552.999156897775
20,10,medio,22882.35758304355,2.260134259331391,51717.200307708175
20,11,baixo,5942.424747735803,2.572923611193225,15289.404941188393
20,12,alto,16682.513774787716,0.0,0.0
21,1,medio,15098.90004936077,0.817277777803861,12339.995479624176
21,2,medio,12716.312213370642,2.30767824081439,29345.156998197705
21,3,baixo,5942.894573877419,2.260134259331391,13431.739626014982
21,4,baixo,6510.399383800437,2.4518333334115834,15962.414223024145
21,5,baixo,6991.0726432655865,2.019368055620004,14117.548770329431
21,6,baixo,11310.348009931051,1.8998009259865578,21487.40962249723
21,7,medio,19845.671884722353,4.328569444582591,85903.36892742098
21,8,baixo,4616.245853971161,2.260134259331391,10433.335404056714
21,9,medio,22549.851036330463,3.8471458334561146,86752.56545947479
21,10,alto,34135.69295400314,2.260134259331391,77151.24911135966
21,11,alto,37486.084485049694,2.572923611193225,96448.83186276839
21,12,medio,21330.563938571304,0.0,0.0
22,1,medio,22118.264092497884,0.817277777803861,18076.765726395603
22,2,baixo,4048.171061276696,2.30767824081439,9341.876273202728
22,3,alto,45482.94436648236,2.260134259331391,102797.56077795048
22,4,baixo,5348.850564843217,2.4518333334115834,13114.490110319977
22,5,alto,42915.1403158787,2.019368055620004,86661.46345633562
22,6,baixo,1450.141252310481,1.8998009259865578,2754.9796939507582
22,7,alto,32577.86392846885,4.328569444582591,141015.54637053964
22,8,medio,18813.259790666827,2.260134259331391,42520.492982587806
22,9,alto,28605.04081057865,3.8471458334561146,110047.76357025976
22,10,medio,16116.134118197562,2.260134259331391,36424.62684851781
22,11,alto,39610.22348358644,2.572923611193225,101914.0792455599
22,12,baixo,4671.481635423687,0.0,0.0
23,1,medio,20589.24388474628,0.817277777803861,16827.131488787174
23,2,alto,32784.732947374556,2.30767824081439,75656.61485356688
23,3,baixo,6366.320383068001,2.260134259331391,14388.738803651733
23,4,medio,16038.807297273863,2.4518333334115834,39324.482359621004
23,5,baixo,12127.512208338449,2.019368055620004,24489.910747660277
23,6,baixo,7706.570807274436,1.8998009259865578,14640.950355840949
23,7,medio,21387.34824749205,4.328569444582591,92576.62212474112
23,8,medio,6128.658948676122,2.260134259331391,13851.592053660808
23,9,baixo,4280.458495038402,3.8471458334561146,16467.54806446882
23,10,alto,28015.850170705377,2.260134259331391,63319.58277510642
23,11,baixo,5958.018632290463,2.572923611193225,15329.526814949299
23,12,medio,13161.298184862753,0.0,0.0
24,1,medio,15421.25587822335,0.817277777803861,12603.449735099108
24,2,alto,33945.35627499388,2.30767824081439,78334.96005249559
24,3,alto,21092.94795366269,2.260134259331391,47672.894300367
24,4,baixo,3355.8631814152236,2.4518333334115834,8228.01721056249
24,5,alto,27163.27115165104,2.019368055620004,54852.64204978851
24,6,medio,7773.456333303791,1.8998009259865578,14768.019540126616
24,7,baixo,6423.049028684415,4.328569444582591,27802.61376661925
24,8,medio,20470.29530981335,2.260134259331391,46265.61572833984
24,9,medio,12601.633810274598,3.8471458334561146,48480.32300793762
24,10,medio,16553.67713718321,2.260134259331391,37413.53281565855
24,11,alto,20775.715122635716,2.572923611193225,53454.327978453584
24,12,alto,23149.586997183607,0.0,0.0
25,1,medio,23916.352959639134,0.817277777803861,19546.303800026668
25,2,alto,27677.084806830386,2.30767824081439,63869.806377897025
25,3,medio,18035.816127032424,2.260134259331391,40763.365923707584
25,4,medio,11075.736738651733,2.4518333334115834,27155.860527917615
25,5,baixo,7323.201246392182,2.019368055620004,14788.238661840971
25,6,alto,32224.601952564368,1.8998009259865578,61220.328629030024
25,7,baixo,6087.7268645786025,4.328569444582591,26351.14849297952
25,8,medio,6112.0073199551425,2.260134259331391,13813.957137114856
25,9,alto,35929.01826078977,3.8471458334561146,138224.17290216603
25,10,alto,50743.86967068858,2.260134259331391,114687.95829377037
25,11,baixo,5248.507632567229,2.572923611193225,13504.00921136008
25,12,medio,11883.927817898726,0.0,0.0
26,1,medio,22013.34524683913,0.817277777803861,17991.01788536587
26,2,baixo,8040.052306164857,2.30767824081439,18553.853761946197
26,3,alto,36266.187551023,2.260134259331391,81966.45293940468
26,4,alto,32458.411485421355,2.4518333334115834,79582.61522954547
26,5,baixo,9230.89925709459,2.019368055620004,18640.583084423244
26,6,medio,21580.110548953337,1.8998009259865578,40997.914003793834
26,7,baixo,7242.697577173245,4.328569444582591,31350.51942890447
26,8,medio,12444.835288942086,2.260134259331391,28126.998588274277
